"date","SPY","EFA","IJS","EEM","AGG"
"2013-06-28","145.946899","50.548283","87.245773","35.084888","95.703964"
"2013-07-01","146.802094","51.024654","88.366219","35.194244","95.836327"
"2013-07-02","146.665665","50.768829","88.580963","34.565456","95.836327"
"2013-07-03","146.729324","50.786469","88.721016","34.246502","95.702164"
"2013-07-05","148.312286","51.024654","89.96286","34.027786","94.655807"
"2013-07-08","149.158432","51.342239","90.411057","34.073345","95.147728"
"2013-07-09","150.231949","51.624531","91.503487","34.51989","95.246063"
"2013-07-10","150.28656","51.774502","91.736908","34.191818","94.995674"
"2013-07-11","152.333588","53.115391","92.595924","35.86861","95.630638"
"2013-07-12","152.397247","52.762531","92.679947","35.485863","95.523315"
"2013-07-15","152.979492","53.088936","93.268204","35.85038","95.728996"
"2013-07-16","152.406311","53.053646","92.950737","35.996189","95.881035"
"2013-07-17","152.797546","53.212437","93.156151","36.324253","96.086746"
"2013-07-18","153.634521","53.565308","94.033829","35.895947","95.907852"
"2013-07-19","153.907486","53.521194","94.080528","35.7957","96.158287"
"2013-07-22","154.207718","53.821129","94.42601","36.151108","96.283508"
"2013-07-23","153.880188","53.935814","94.173889","36.542961","96.22982"
"2013-07-24","153.316132","53.865246","93.492279","36.169338","95.916794"
"2013-07-25","153.689133","53.971096","94.229919","36.378929","95.952576"
"2013-07-26","153.852905","53.63588","93.660347","36.296913","95.925758"
"2013-07-29","153.379807","53.124222","92.857361","35.84127","95.925758"
"2013-07-30","153.379807","53.115391","93.174835","35.759258","95.889992"
"2013-07-31","153.488983","53.238895","92.969391","35.549652","95.961517"
"2013-08-01","155.263062","53.96228","94.23925","36.196671","95.419426"
"2013-08-02","155.526932","54.403366","94.248596","36.187557","95.741989"
"2013-08-05","155.299438","54.288685","94.640739","35.959732","95.786819"
"2013-08-06","154.416977","54.20929","93.744377","35.504086","95.688248"
"2013-08-07","153.91658","53.971096","93.137497","35.121346","95.813675"
"2013-08-08","154.480667","54.456287","93.613655","35.7957","95.948059"
"2013-08-09","154.034836","54.553333","93.482948","35.86861","96.010811"
"2013-08-12","153.852905","54.403366","93.893761","36.205788","95.948059"
"2013-08-13","154.307831","54.756233","93.819092","36.424496","95.562759"
"2013-08-14","153.516281","54.782696","93.557632","36.542961","95.437347"
"2013-08-15","151.369186","54.323967","91.839615","36.123772","95.096802"
"2013-08-16","150.86882","54.421001","91.587532","35.813927","94.828011"
"2013-08-19","149.90448","54.032852","90.775192","35.139565","94.532318"
"2013-08-20","150.641388","53.96228","92.054367","35.075775","94.81012"
"2013-08-21","149.713364","53.327122","91.316742","34.255611","94.46064"
"2013-08-22","151.078064","53.847595","92.539886","34.811504","94.577156"
"2013-08-23","151.587555","54.315151","92.707977","35.221584","94.890762"
"2013-08-26","151.023468","53.918175","92.511909","34.838844","95.060974"
"2013-08-27","148.594345","53.000713","90.439056","34.036903","95.31189"
"2013-08-28","149.122055","52.938969","90.644485","34.109806","95.13266"
"2013-08-29","149.358582","52.850746","91.335426","34.383198","95.320808"
"2013-08-30","148.885513","52.197941","89.794792","34.647472","95.168526"
"2013-09-03","149.558746","53.203621","90.177628","34.866173","94.93335"
"2013-09-04","150.796051","53.679993","90.859238","35.485863","94.798676"
"2013-09-05","150.987122","53.63588","91.02729","35.90506","94.161301"
"2013-09-06","151.059875","53.926994","91.251389","36.433609","94.511414"
"2013-09-09","152.506378","54.668018","92.605263","37.390469","94.699974"
"2013-09-10","153.634521","55.285534","93.44561","37.672966","94.529366"
"2013-09-11","154.116745","55.479614","93.697693","37.700306","94.852547"
"2013-09-12","153.707321","55.162029","93.025436","37.262886","94.744827"
"2013-09-13","154.05307","55.426678","93.454926","37.508934","94.879478"
"2013-09-16","154.944611","55.858948","93.71637","37.928135","95.076996"
